Description:;"Celsius-based heating degree days with a base temperature of 15 C"
Source:;"www.degreedays.net"
Accuracy:;"Estimates were made to account for missing data: the ""% Estimated"" column shows how much each figure was affected (0% is best, 100% is worst)"
Station:;"Tartu/Ulenurme, EE (26.69E,58.31N)"
Station ID:;EETU

Month starting;HDD 15;% Estimated
2019-09-01;134,3;0,03
2019-10-01;247,4;0
2019-11-01;370,6;0
2019-12-01;405;0
2020-01-01;382,8;0
2020-02-01;397,9;0
2020-03-01;392,2;0
2020-04-01;305,8;0
2020-05-01;179,8;0
2020-06-01;19,3;0
2020-07-01;27,7;0
2020-08-01;29,5;0
2020-09-01;61;0
2020-10-01;194,6;0
2020-11-01;321,3;0
2020-12-01;481,1;0
2021-01-01;591,5;0
2021-02-01;611,5;0
2021-03-01;456,1;0
2021-04-01;290,2;0
2021-05-01;152,4;0
2021-06-01;15,8;0
2021-07-01;5,6;0
2021-08-01;26,8;0
